Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_BL;BL_NumAssets
2017-01-01;BASF SE ORD;DE000BASF111;81110853467.0;83.7845;A;Basic Materials;DAX;2017-01-02;2017-12-29;True;Top;7;1.8259028623765704e-17;10
2017-01-01;SIEMENS ORD;DE0007236101;89496948800.0;83.5155;A;Industrials;DAX;2017-01-02;2017-12-29;True;Top;8;0.0;10
2017-01-01;BAYER AG;DE000BAY0017;81975339616.0;82.9239;A-;Healthcare;DAX;2017-01-02;2017-12-29;True;Top;9;0.0;10
2017-01-01;DEUTSCHE POST ORD;DE0005552004;38760007606.0;82.871;A-;Industrials;DAX;2017-01-02;2017-12-29;True;Top;10;9.639203501938759e-18;10
2018-01-01;BEIERSDORF ORD;DE0005200000;24670800000.0;59.2129;B;Consumer Non-Cyclicals;DAX;2018-01-02;2018-12-31;True;Bottom;1;0.0;10
2018-01-01;VONOVIA SE;DE000A1ML7J1;20078316368.0;60.3076;B;Real Estate;DAX;2018-01-02;2018-12-31;True;Bottom;2;0.0;10
2018-01-01;FRESENIUS SE ORD;DE0005785604;36092159696.0;64.3046;B;Healthcare;DAX;2018-01-02;2018-12-31;True;Bottom;3;2.0188183264858994e-17;10
2018-01-01;E.ON ORD;DE000ENAG999;19944158039.0;66.9292;B+;Utilities;DAX;2018-01-02;2018-12-31;True;Bottom;4;0.0;10
2018-01-01;PROSIEBENSAT.1 MEDIA SE;DE000PSM7770;6688265000.0;68.2493;B+;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Bottom;5;0.031879027427441864;10
2018-01-01;RWE ST A ORD;DE0007037129;9329453761.0;70.0248;B+;Utilities;DAX;2018-01-02;2018-12-31;True;Bottom;6;0.01799349074456669;10
2018-01-01;THYSSEN-KRUPP ORD;DE0007500001;11323154511.0;71.426;B+;Basic Materials;DAX;2018-01-02;2018-12-31;True;Bottom;7;0.16542681204801946;10
2018-01-01;HENKEL& KGAA PRF;DE0006048432;45639860756.0;71.8511;B+;Basic Materials;DAX;2018-01-02;2018-12-31;True;Bottom;8;0.1653677488467085;10
2018-01-01;DT BOERSE N;DE0005810055;18682400000.0;72.1851;B+;Financials;DAX;2018-01-02;2018-12-31;True;Bottom;9;0.4627824612798295;10
2018-01-01;LUFTHANSA ORD;DE0008232125;14477090128.0;72.7059;B+;Industrials;DAX;2018-01-02;2018-12-31;True;Bottom;10;0.1565504596534339;10
2018-01-01;SAP SE ORD;DE0007164600;114000000000.0;93.7259;A+;Technology;DAX;2018-01-02;2018-12-31;True;Top;1;0.899547779666828;10
2018-01-01;DAIMLER ORD;DE0007100000;63439722686.0;91.0398;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;2;0.1004522203331721;10
2018-01-01;MUNICH RE ORD;DE0008430026;28021294371.0;86.1277;A;Financials;DAX;2018-01-02;2018-12-31;True;Top;3;0.0;10
2018-01-01;ALLIANZ SE ORD;DE0008404005;84307807209.0;86.0753;A;Financials;DAX;2018-01-02;2018-12-31;True;Top;4;5.2324585547732645e-17;10
2018-01-01;ADIDAS ORD;DE000A1EWWW0;34970485490.0;85.9114;A;Consumer Cyclicals;DAX;2018-01-02;2018-12-31;True;Top;5;0.0;10
2018-01-01;BAYER AG;DE000BAY0017;86002575917.0;84.8656;A;Healthcare;DAX;2018-01-02;2018-12-31;True;Top;6;1.1343080194358776e-17;10
