Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_RP;RP_NumAssets
2016-01-01;DAIMLER ORD;DE0007100000;69514882355.0;93.0302;A+;Consumer Cyclicals;DAX;2016-01-04;2016-12-30;True;Top;2;0.08011273470678762;10
2016-01-01;SAP SE ORD;DE0007164600;89655074229.0;90.5546;A;Technology;DAX;2016-01-04;2016-12-30;True;Top;3;0.12280747701170167;10
2016-01-01;ALLIANZ SE ORD;DE0008404005;74742350000.0;88.4617;A;Financials;DAX;2016-01-04;2016-12-30;True;Top;4;0.11561340950792287;10
2016-01-01;BASF SE ORD;DE000BASF111;64954813240.0;87.8951;A;Basic Materials;DAX;2016-01-04;2016-12-30;True;Top;5;0.09227360778987205;10
2016-01-01;BMW AG;DE0005190003;62991600687.0;85.8359;A;Consumer Cyclicals;DAX;2016-01-04;2016-12-30;True;Top;6;0.0821631919185574;10
2016-01-01;SIEMENS ORD;DE0007236101;71381461225.0;84.4989;A;Industrials;DAX;2016-01-04;2016-12-30;True;Top;7;0.11251200721206006;10
2016-01-01;CONTINENTAL ORD;DE0005439004;30530903705.0;80.687;A-;Consumer Cyclicals;DAX;2016-01-04;2016-12-30;True;Top;8;0.08865393995012041;10
2016-01-01;DEUTSCHE POST ORD;DE0005552004;31477021946.0;80.3586;A-;Industrials;DAX;2016-01-04;2016-12-30;True;Top;9;0.11202261931325044;10
2016-01-01;VOLKSWAGEN PRF;DE0007664039;69571259370.0;80.1807;A-;Consumer Cyclicals;DAX;2016-01-04;2016-12-30;True;Top;10;0.07760615238102982;10
2017-01-01;VONOVIA SE;DE000A1ML7J1;14401744743.0;35.7014;C;Real Estate;DAX;2017-01-02;2017-12-29;True;Bottom;1;0.1229192206449128;10
2017-01-01;FRESENIUS SE ORD;DE0005785604;40635693630.0;43.9065;C+;Healthcare;DAX;2017-01-02;2017-12-29;True;Bottom;2;0.09867736504282298;10
2017-01-01;BEIERSDORF ORD;DE0005200000;20311200000.0;54.0533;B-;Consumer Non-Cyclicals;DAX;2017-01-02;2017-12-29;True;Bottom;3;0.13229392925298547;10
2017-01-01;PROSIEBENSAT.1 MEDIA SE;DE000PSM7770;8530130000.0;59.2496;B;Consumer Cyclicals;DAX;2017-01-02;2017-12-29;True;Bottom;4;0.09533971994308756;10
2017-01-01;DT BOERSE ORD;DE000A2AA253;14749060000.0;69.3167;B+;Financials;DAX;2017-01-02;2017-12-29;True;Bottom;5;0.10453432972473471;10
2017-01-01;COMMERZBANK KONV;DE000CBK1001;9074583416.0;69.5858;B+;Financials;DAX;2017-01-02;2017-12-29;True;Bottom;6;0.06283150314335349;10
2017-01-01;MUNICH RE ORD;DE0008430026;28933332596.0;69.9596;B+;Financials;DAX;2017-01-02;2017-12-29;True;Bottom;7;0.10465795110279374;10
2017-01-01;RWE ST A ORD;DE0007037129;6483970387.0;72.2223;B+;Utilities;DAX;2017-01-02;2017-12-29;True;Bottom;8;0.06671409413367826;10
2017-01-01;HENKEL& KGAA PRF;DE0006048432;45891541301.0;72.2584;B+;Basic Materials;DAX;2017-01-02;2017-12-29;True;Bottom;9;0.1325821739592338;10
2017-01-01;LUFTHANSA ORD;DE0008232125;5752395248.0;72.4671;B+;Industrials;DAX;2017-01-02;2017-12-29;True;Bottom;10;0.0794497130523971;10
2017-01-01;DAIMLER ORD;DE0007100000;63368039298.0;92.2051;A+;Consumer Cyclicals;DAX;2017-01-02;2017-12-29;True;Top;1;0.08333963672158111;10
2017-01-01;SAP SE ORD;DE0007164600;101000000000.0;91.5597;A;Technology;DAX;2017-01-02;2017-12-29;True;Top;2;0.11925468322793871;10
2017-01-01;ADIDAS ORD;DE000A1EWWW0;31413810328.0;88.4181;A;Consumer Cyclicals;DAX;2017-01-02;2017-12-29;True;Top;3;0.14109250522879505;10
2017-01-01;BMW AG;DE0005190003;57411717316.0;87.0988;A;Consumer Cyclicals;DAX;2017-01-02;2017-12-29;True;Top;4;0.07488590068147875;10
