Period;Index;PortfolioSide;Strategy;NumObservations;CumulativeReturn;AnnualisedReturn;AnnualisedVolatility;SharpeRatio;HistoricalVaR95;MaxDrawdown
2015-2019;SP100;Top;Annual_Equal;1258;79.73;12.46;14.1;0.834;1.43;-19.62
2015-2019;SP100;Top;Annual_Equal_MinusBenchmark;1258;6.95;1.35;5.48;0.093;0.56;-10.28
2015-2019;SP100;Top;Annual_MCap;1258;114.72;16.54;15.6;0.997;1.54;-17.03
2015-2019;SP100;Top;Annual_MCap_MinusBenchmark;1224;34.62;6.31;5.92;0.897;0.51;-6.25
2015-2019;SP100;Top;Annual_RiskParity;1006;61.37;12.74;13.3;0.876;1.39;-19.15
2015-2019;SP100;Top;Annual_RiskParity_MinusBenchmark;979;2.04;0.52;5.81;-0.093;0.58;-11.81
2015-2019;SP100;Top;BuyHold_Equal;1258;97.23;14.58;14.11;0.965;1.42;-15.78
2015-2019;SP100;Top;BuyHold_Equal_MinusBenchmark;1258;17.17;3.22;6.1;0.389;0.63;-8.17
2015-2019;SP100;Top;BuyHold_MCap;1258;126.28;17.77;15.6;1.064;1.55;-15.23
2015-2019;SP100;Top;BuyHold_MCap_MinusBenchmark;1224;39.07;7.03;6.49;0.927;0.62;-6.25
2015-2019;SP100;TopMinusBottom;Annual_BlackLitterman;1006;36.81;8.17;15.08;0.514;1.49;-15.94
2015-2019;SP100;TopMinusBottom;Annual_Equal;1258;-5.12;-1.05;9.69;-0.162;0.96;-23.91
2015-2019;SP100;TopMinusBottom;Annual_MCap;1258;12.69;2.42;9.78;0.193;0.92;-17.01
2015-2019;SP100;TopMinusBottom;Annual_RiskParity;1006;-10.39;-2.71;9.66;-0.363;0.94;-23.13
2015-2019;SP100;TopMinusBottom;BuyHold_Equal;1258;6.68;1.3;8.33;0.079;0.84;-11.79
2015-2019;SP100;TopMinusBottom;BuyHold_MCap;1258;8.83;1.71;9.2;0.123;0.86;-14.85
2015-2024;DAX;Benchmark;Benchmark_Equal;2554;79.61;5.95;18.71;0.313;1.84;-40.78
2015-2024;DAX;Benchmark;Benchmark_MCap;2488;100.69;7.31;19.15;0.377;1.82;-38.93
2015-2024;DAX;Bottom;Annual_BlackLitterman;2288;28.74;2.82;16.59;0.139;1.59;-32.21
2015-2024;DAX;Bottom;Annual_BlackLitterman_MinusBenchmark;2240;-40.05;-5.59;11.9;-0.581;1.21;-46.34
2015-2024;DAX;Bottom;Annual_Equal;2542;26.81;2.38;18.19;0.129;1.84;-34.71
2015-2024;DAX;Bottom;Annual_Equal_MinusBenchmark;2542;-31.88;-3.73;7.02;-0.745;0.7;-44.36
2015-2024;DAX;Bottom;Annual_MCap;2542;28.19;2.49;17.03;0.132;1.74;-31.25
2015-2024;DAX;Bottom;Annual_MCap_MinusBenchmark;2488;-43.48;-5.62;9.51;-0.737;0.95;-52.51
2015-2024;DAX;Bottom;Annual_RiskParity;2288;25.13;2.5;16.48;0.12;1.59;-32.34
2015-2024;DAX;Bottom;Annual_RiskParity_MinusBenchmark;2240;-38.78;-5.37;9.06;-0.77;0.89;-48.76
2015-2024;DAX;Bottom;BuyHold_Equal;2542;68.19;5.29;18.56;0.281;1.81;-46.89
2015-2024;DAX;Bottom;BuyHold_Equal_MinusBenchmark;2542;-9.53;-0.99;7.73;-0.306;0.74;-31.54
2015-2024;DAX;Bottom;BuyHold_MCap;2542;111.51;7.71;18.04;0.409;1.7;-38.94
2015-2024;DAX;Bottom;BuyHold_MCap_MinusBenchmark;2488;-3.45;-0.35;9.46;-0.168;0.94;-34.1
2015-2024;DAX;Top;Annual_BlackLitterman;2295;86.41;7.08;21.01;0.342;1.99;-44.0
2015-2024;DAX;Top;Annual_BlackLitterman_MinusBenchmark;2240;-2.41;-0.27;10.7;-0.147;0.98;-37.18
2015-2024;DAX;Top;Annual_Equal;2549;109.29;7.57;20.13;0.381;1.89;-42.4
2015-2024;DAX;Top;Annual_Equal_MinusBenchmark;2549;17.65;1.62;5.91;0.018;0.55;-13.42
2015-2024;DAX;Top;Annual_MCap;2549;108.95;7.56;20.2;0.379;1.96;-40.95
2015-2024;DAX;Top;Annual_MCap_MinusBenchmark;2488;5.85;0.58;5.14;-0.19;0.45;-10.5
2015-2024;DAX;Top;Annual_RiskParity;2295;89.93;7.3;18.9;0.369;1.72;-41.32
2015-2024;DAX;Top;Annual_RiskParity_MinusBenchmark;2240;4.56;0.5;5.19;-0.238;0.49;-17.49
2015-2024;DAX;Top;BuyHold_Equal;2542;123.43;8.3;22.12;0.396;2.14;-44.35
2015-2024;DAX;Top;BuyHold_Equal_MinusBenchmark;2542;29.16;2.57;7.89;0.149;0.72;-13.65
2015-2024;DAX;Top;BuyHold_MCap;2542;120.97;8.18;22.03;0.391;2.07;-43.55
2015-2024;DAX;Top;BuyHold_MCap_MinusBenchmark;2488;12.99;1.24;6.28;-0.04;0.58;-12.61
2015-2024;DAX;TopMinusBottom;Annual_BlackLitterman;2288;38.29;3.64;16.43;0.186;1.51;-25.6
2015-2024;DAX;TopMinusBottom;Annual_Equal;2542;60.82;4.82;11.3;0.325;1.04;-24.36
2015-2024;DAX;TopMinusBottom;Annual_MCap;2542;61.2;4.85;11.94;0.316;1.13;-24.61
2015-2024;DAX;TopMinusBottom;Annual_RiskParity;2288;49.89;4.56;10.76;0.295;1.03;-22.63
