Label;AnnualisedReturn;AnnualisedVolatility;SharpeRatio;HistoricalVaR95;MaxDrawdown;Alpha_Annualised;Alpha_tstat;Alpha_pvalue
Top | Annual;9.75;17.76;0.519;1.59;-30.83;-1.063;-0.462;0.6439
Bottom | Annual;13.27;18.62;0.673;1.76;-32.41;0.914;0.477;0.6331
Top | Buy & Hold;11.11;18.11;0.58;1.69;-28.74;-0.309;-0.167;0.8677
Bottom | Buy & Hold;12.89;19.01;0.646;1.73;-38.71;0.423;0.25;0.8024
Benchmark;12.23;17.11;0.662;1.58;-34.74;n/a;n/a;n/a
