Date;Index;PortfolioSide;Strategy;PortfolioReturn
2016-04-20;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004230304230290633
2016-04-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.007205814816063458
2016-04-22;DAX;TopMinusBottom;Annual_BlackLitterman;0.0043070117615434935
2016-04-25;DAX;TopMinusBottom;Annual_BlackLitterman;0.004551715337417883
2016-04-26;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005602638213681361
2016-04-27;DAX;TopMinusBottom;Annual_BlackLitterman;0.05947307277696655
2016-04-28;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008652411990110674
2016-04-29;DAX;TopMinusBottom;Annual_BlackLitterman;0.0034034764699858062
2016-05-02;DAX;TopMinusBottom;Annual_BlackLitterman;0.0007872633022440872
2016-05-03;DAX;TopMinusBottom;Annual_BlackLitterman;0.00451713619891984
2016-05-04;DAX;TopMinusBottom;Annual_BlackLitterman;0.0033213704709029943
2016-05-05;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002597894846308379
2016-05-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0024043881509056364
2016-05-09;DAX;TopMinusBottom;Annual_BlackLitterman;0.007996289177495244
2016-05-10;DAX;TopMinusBottom;Annual_BlackLitterman;0.017897037700296187
2016-05-11;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0038355345982291865
2016-05-12;DAX;TopMinusBottom;Annual_BlackLitterman;0.011229172848982878
2016-05-13;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005723064061514705
2016-05-17;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0029852237340721585
2016-05-18;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002923507727052116
2016-05-19;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0004572726135051771
2016-05-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.01642691581104452
2016-05-23;DAX;TopMinusBottom;Annual_BlackLitterman;0.0002556207717454998
