Label;AnnualisedReturn;AnnualisedVolatility;SharpeRatio;HistoricalVaR95;MaxDrawdown;Alpha_Annualised;Alpha_tstat;Alpha_pvalue
Top;17.92;21.66;0.784;1.99;-30.08;4.223;1.363;0.173
Bottom;11.87;19.75;0.573;1.77;-38.94;-0.273;-0.087;0.931
Benchmark;14.21;18.18;0.73;1.67;-31.53;n/a;n/a;n/a
