Index;PortfolioSide;Strategy;Year;AnnualReturn
DAX;Bottom;Annual_RiskParity;2018;-0.12804050519707522
DAX;Bottom;Annual_RiskParity;2019;0.15171524854481078
DAX;Bottom;Annual_RiskParity;2020;0.0020205078712582925
DAX;Bottom;Annual_RiskParity;2021;0.054735296741899475
DAX;Bottom;Annual_RiskParity;2022;-0.15769588758518815
DAX;Bottom;Annual_RiskParity;2023;0.1368863438619845
DAX;Bottom;Annual_RiskParity;2024;-0.05254837055510664
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2016;-0.061569668773180375
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2017;0.12252887444024863
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2018;0.0740479391875073
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2019;-0.10126953905859859
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2020;-0.04254948828765126
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2021;-0.09444046524023997
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2022;-0.05857398980970119
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2023;-0.06522383460056935
DAX;Bottom;Annual_RiskParity_MinusBenchmark;2024;-0.2109013436738908
DAX;Bottom;BuyHold_Equal;2015;0.16067699530272161
DAX;Bottom;BuyHold_Equal;2016;0.05521265210053761
DAX;Bottom;BuyHold_Equal;2017;0.22498000398470985
DAX;Bottom;BuyHold_Equal;2018;-0.23961378534721822
DAX;Bottom;BuyHold_Equal;2019;0.16986021792108708
DAX;Bottom;BuyHold_Equal;2020;-0.08674236824581483
DAX;Bottom;BuyHold_Equal;2021;0.02949368305218858
DAX;Bottom;BuyHold_Equal;2022;0.026793524649193712
DAX;Bottom;BuyHold_Equal;2023;0.1448197175778021
DAX;Bottom;BuyHold_Equal;2024;0.14031930621390543
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2015;0.027599354368859963
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2016;-0.00973324008483245
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2017;0.01815679105830803
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2018;-0.05871612967092654
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2019;-0.019689001298738962
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2020;-0.11345727354747648
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2021;-0.08391688647810447
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2022;0.2334948382383628
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2023;-0.026039480927499414
DAX;Bottom;BuyHold_Equal_MinusBenchmark;2024;-0.030100701574248268
DAX;Bottom;BuyHold_MCap;2015;0.2176663455819159
DAX;Bottom;BuyHold_MCap;2016;0.03660986800592769
DAX;Bottom;BuyHold_MCap;2017;0.14813360675159482
DAX;Bottom;BuyHold_MCap;2018;-0.19404662916731052
DAX;Bottom;BuyHold_MCap;2019;0.22876081452142216
DAX;Bottom;BuyHold_MCap;2020;-0.07841760547674748
DAX;Bottom;BuyHold_MCap;2021;0.03168275001944565
DAX;Bottom;BuyHold_MCap;2022;0.05211344214116309
DAX;Bottom;BuyHold_MCap;2023;0.21353524118421374
DAX;Bottom;BuyHold_MCap;2024;0.2139829484602629
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2015;0.09655726379566354
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2016;-0.037039199698589154
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2017;0.011192308620601166
DAX;Bottom;BuyHold_MCap_MinusBenchmark;2018;-0.031738030140324947
