Period;Index;PortfolioSide;Strategy;NumMonths;Alpha_Monthly;Alpha_tstat;Alpha_pvalue;Beta_Mkt;Beta_SMB;Beta_HML;R_squared;Alpha_Annualised
2015-2019;SP100;Bottom;BuyHold_MCap_MinusBenchmark;60;0.39;2.008;0.0446;-0.082;-0.011;-0.096;0.059;4.678
2015-2019;SP100;Top;Annual_BlackLitterman;48;0.575;2.132;0.033;0.957;-0.428;-0.341;0.727;6.903
2015-2019;SP100;Top;Annual_BlackLitterman_MinusBenchmark;48;0.592;2.285;0.0223;-0.006;-0.275;-0.297;0.26;7.104
2015-2019;SP100;Top;Annual_Equal;60;0.047;0.246;0.8054;0.979;-0.266;-0.011;0.837;0.569
2015-2019;SP100;Top;Annual_Equal_MinusBenchmark;60;-0.01;-0.052;0.9585;-0.006;-0.146;-0.107;0.088;-0.114
2015-2019;SP100;Top;Annual_MCap;60;0.295;1.429;0.153;1.03;-0.438;0.024;0.833;3.541
2015-2019;SP100;Top;Annual_MCap_MinusBenchmark;60;0.4;2.201;0.0277;0.015;-0.215;0.056;0.11;4.8
2015-2019;SP100;Top;Annual_RiskParity;48;-0.087;-0.407;0.6841;0.934;-0.188;-0.002;0.806;-1.045
2015-2019;SP100;Top;Annual_RiskParity_MinusBenchmark;48;0.027;0.127;0.8989;-0.063;0.015;0.023;0.02;0.32
2015-2019;SP100;Top;BuyHold_Equal;60;0.21;1.336;0.1816;0.889;-0.359;-0.165;0.808;2.515
2015-2019;SP100;Top;BuyHold_Equal_MinusBenchmark;60;0.163;1.011;0.3121;-0.097;-0.235;-0.261;0.323;1.958
2015-2019;SP100;Top;BuyHold_MCap;60;0.388;1.874;0.0609;0.959;-0.518;-0.103;0.78;4.656
2015-2019;SP100;Top;BuyHold_MCap_MinusBenchmark;60;0.461;2.67;0.0076;-0.049;-0.295;-0.071;0.213;5.533
2015-2019;SP100;TopMinusBottom;Annual_BlackLitterman;48;0.505;1.024;0.3058;-0.017;-0.175;-0.653;0.186;6.06
2015-2019;SP100;TopMinusBottom;Annual_Equal;60;-0.217;-0.82;0.4124;0.011;-0.135;-0.179;0.04;-2.598
2015-2019;SP100;TopMinusBottom;Annual_MCap;60;0.082;0.294;0.7685;0.057;-0.151;-0.009;0.016;0.978
2015-2019;SP100;TopMinusBottom;Annual_RiskParity;48;-0.313;-1.097;0.2727;-0.027;-0.01;-0.274;0.061;-3.762
2015-2019;SP100;TopMinusBottom;BuyHold_Equal;60;0.036;0.183;0.8551;-0.065;-0.284;-0.095;0.133;0.433
2015-2019;SP100;TopMinusBottom;BuyHold_MCap;60;0.034;0.135;0.8923;0.039;-0.258;0.04;0.05;0.409
2015-2024;DAX;Bottom;Annual_BlackLitterman;108;-0.094;-0.361;0.7178;0.55;0.135;0.049;0.433;-1.132
2015-2024;DAX;Bottom;Annual_BlackLitterman_MinusBenchmark;108;-0.377;-1.376;0.1688;-0.33;0.393;-0.043;0.221;-4.52
2015-2024;DAX;Bottom;Annual_Equal;120;-0.151;-0.675;0.4995;0.747;-0.144;-0.096;0.582;-1.817
2015-2024;DAX;Bottom;Annual_Equal_MinusBenchmark;120;-0.363;-1.933;0.0533;-0.158;0.189;-0.192;0.234;-4.358
