Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2017;HENKEL& KGAA PRF;DE0006048432;45891541301;72.2584;B+;Basic Materials
01.01.2017;DT TELEKOM N;DE0005557508;76490732750;78.6299;A-;Technology
01.01.2017;MERCK ORD;DE0006599905;43108226604;80.5025;A-;Healthcare
01.01.2017;VOLKSWAGEN PRF;DE0007664039;67851028702;79.9198;A-;Consumer Cyclicals
01.01.2017;BMW AG;DE0005190003;57411717316;87.0988;A;Consumer Cyclicals
01.01.2017;BEIERSDORF ORD;DE0005200000;20311200000;54.0533;B-;Consumer Non-Cyclicals
01.01.2017;HEIDELBGCEMENT ORD;DE0006047004;17585652357;80.5528;A-;Basic Materials
01.01.2017;FRESENIUS MEDICAL CARE ORD;DE0005785802;24715993086;72.7237;B+;Healthcare
01.01.2017;FRESENIUS SE ORD;DE0005785604;40635693630;43.9065;C+;Healthcare
01.01.2017;DEUTSCHE POST ORD;DE0005552004;38760007606;82.871;A-;Industrials
01.01.2017;ALLIANZ SE ORD;DE0008404005;71749000000;86.6479;A;Financials
01.01.2017;LUFTHANSA ORD;DE0008232125;5752395248;72.4671;B+;Industrials
01.01.2017;MUNICH RE ORD;DE0008430026;28933332596;69.9596;B+;Financials
01.01.2017;CONTINENTAL ORD;DE0005439004;24976740357;84.4767;A;Consumer Cyclicals
01.01.2017;ADIDAS ORD;DE000A1EWWW0;31413810328;88.4181;A;Consumer Cyclicals
01.01.2017;DAIMLER ORD;DE0007100000;63368039298;92.2051;A+;Consumer Cyclicals
01.01.2017;THYSSEN-KRUPP ORD;DE0007500001;9624245649;73.2958;B+;Basic Materials
01.01.2017;COMMERZBANK KONV;DE000CBK1001;9074583416;69.5858;B+;Financials
01.01.2017;VONOVIA SE;DE000A1ML7J1;14401744743;35.7014;C;Real Estate
01.01.2017;DT BOERSE ORD;DE000A2AA253;14749060000;69.3167;B+;Financials
01.01.2018;BASF SE ORD;DE000BASF111;84261235388;84.5268;A;Basic Materials
01.01.2018;INFINEON TECHNOLOGIES ORD;DE0006231004;25948161749;82.9913;A-;Technology
01.01.2018;PROSIEBENSAT.1 MEDIA SE;DE000PSM7770;6688265000;68.2493;B+;Consumer Cyclicals
01.01.2018;SIEMENS ORD;DE0007236101;88998892150;82.4617;A-;Industrials
01.01.2018;E.ON ORD;DE000ENAG999;19944158039;66.9292;B+;Utilities
01.01.2018;DEUTSCHE BANK ORD;DE0005140008;32810023455;80.2409;A-;Financials
01.01.2018;SAP SE ORD;DE0007164600;1.14E+11;93.7259;A+;Technology
01.01.2018;BAYER AG;DE000BAY0017;86002575917;84.8656;A;Healthcare
01.01.2018;RWE ST A ORD;DE0007037129;9329453761;70.0248;B+;Utilities
01.01.2018;HENKEL& KGAA PRF;DE0006048432;45639860756;71.8511;B+;Basic Materials
01.01.2018;DT TELEKOM N;DE0005557508;70445779928;79.3986;A-;Technology
01.01.2018;MERCK ORD;DE0006599905;39021314551;79.0118;A-;Healthcare
01.01.2018;VOLKSWAGEN PRF;DE0007664039;84104548617;80.9124;A-;Consumer Cyclicals
01.01.2018;BMW AG;DE0005190003;56384981983;83.6821;A;Consumer Cyclicals
01.01.2018;BEIERSDORF ORD;DE0005200000;24670800000;59.2129;B;Consumer Non-Cyclicals
01.01.2018;HEIDELBGCEMENT ORD;DE0006047004;17907087049;79.299;A-;Basic Materials
01.01.2018;FRESENIUS MEDICAL CARE ORD;DE0005785802;27040142962;73.239;B+;Healthcare
